frame_idx,time_s,class_name,conf,x1,y1,x2,y2,X_m,Y_m,Z_m,distance_m
409,13.633,sports ball,0.885,653.52,395.16,710.08,451.82,0.128,0.231,3.518,3.528
410,13.667,sports ball,0.876,661.29,389.21,716.62,444.47,0.157,0.207,3.546,3.556
411,13.7,sports ball,0.871,667.11,383.99,721.74,437.72,0.179,0.185,3.559,3.568
412,13.733,sports ball,0.889,672.98,379.76,726.34,432.26,0.203,0.169,3.63,3.639
413,13.767,sports ball,0.872,679.09,373.5,732.85,427.77,0.233,0.15,3.705,3.715
414,13.8,sports ball,0.877,684.79,370.33,737.66,423.18,0.255,0.135,3.716,3.727
415,13.833,sports ball,0.889,690.51,364.24,742.38,416.43,0.282,0.111,3.792,3.804
416,13.867,sports ball,0.863,697.44,361.88,748.54,411.76,0.31,0.097,3.797,3.811
417,13.9,sports ball,0.863,701.91,355.38,752.36,406.81,0.332,0.074,3.858,3.872
418,13.933,sports ball,0.889,707.0,351.43,757.56,401.84,0.362,0.056,3.94,3.957
419,13.967,sports ball,0.867,712.89,347.8,760.63,396.75,0.384,0.038,3.975,3.994
420,14.0,sports ball,0.861,717.02,344.04,766.86,392.55,0.407,0.02,3.976,3.997
421,14.033,sports ball,0.873,721.54,340.2,771.04,388.52,0.437,0.003,4.082,4.105
422,14.067,sports ball,0.889,727.54,335.98,775.56,383.6,0.463,-0.017,4.104,4.13
423,14.1,sports ball,0.871,730.98,331.4,779.22,379.45,0.485,-0.038,4.152,4.18
424,14.133,sports ball,0.857,735.79,328.36,783.53,375.47,0.508,-0.054,4.169,4.2
425,14.167,sports ball,0.877,739.95,323.92,786.92,370.65,0.528,-0.075,4.197,4.231
426,14.2,sports ball,0.881,745.18,321.32,791.34,367.19,0.555,-0.09,4.232,4.27
427,14.233,sports ball,0.863,747.91,317.56,793.91,362.92,0.574,-0.11,4.284,4.324
428,14.267,sports ball,0.842,753.26,314.57,798.26,359.9,0.608,-0.127,4.362,4.406
429,14.3,sports ball,0.857,756.85,311.49,800.81,355.58,0.627,-0.145,4.394,4.441
430,14.333,sports ball,0.883,762.28,307.74,806.34,352.28,0.661,-0.164,4.444,4.496
431,14.367,sports ball,0.871,764.06,304.7,808.14,348.56,0.683,-0.184,4.531,4.586
432,14.4,sports ball,0.857,768.86,301.15,812.89,345.78,0.707,-0.2,4.531,4.59
433,14.433,sports ball,0.849,770.62,298.96,814.48,341.92,0.72,-0.216,4.559,4.621
434,14.467,sports ball,0.871,776.27,295.75,819.03,337.94,0.746,-0.235,4.565,4.631
435,14.5,sports ball,0.877,779.19,291.62,821.48,335.21,0.769,-0.255,4.624,4.694
436,14.533,sports ball,0.88,781.55,290.29,824.45,332.86,0.791,-0.267,4.674,4.748
437,14.567,sports ball,0.847,785.41,287.25,828.44,329.14,0.815,-0.286,4.697,4.776
438,14.6,sports ball,0.843,788.82,284.72,829.45,325.55,0.832,-0.304,4.725,4.808
439,14.633,sports ball,0.851,792.6,282.47,833.27,322.62,0.852,-0.317,4.727,4.813
440,14.667,sports ball,0.868,795.31,279.59,837.11,320.88,0.888,-0.337,4.831,4.923
441,14.7,sports ball,0.873,798.57,276.79,839.86,317.25,0.918,-0.36,4.911,5.009
442,14.733,sports ball,0.847,801.88,274.67,841.85,314.56,0.936,-0.374,4.928,5.03
443,14.767,sports ball,0.854,804.43,271.9,845.42,312.51,0.951,-0.386,4.92,5.026
444,14.8,sports ball,0.848,808.55,269.53,848.2,310.58,0.97,-0.398,4.92,5.03
445,14.833,sports ball,0.866,811.31,267.39,851.57,307.41,0.997,-0.417,4.975,5.091
446,14.867,sports ball,0.871,812.27,265.4,852.9,304.3,1.009,-0.433,5.001,5.12
447,14.9,sports ball,0.858,816.31,262.4,856.09,301.82,1.028,-0.448,5.001,5.125
448,14.933,sports ball,0.855,818.22,260.17,857.67,299.66,1.048,-0.464,5.048,5.176
449,14.967,sports ball,0.858,821.64,257.79,860.63,297.41,1.07,-0.479,5.069,5.203
450,15.0,sports ball,0.858,823.47,256.08,861.43,295.08,1.081,-0.492,5.086,5.223
451,15.033,sports ball,0.852,827.02,253.94,864.8,292.56,1.105,-0.507,5.107,5.249
452,15.067,sports ball,0.86,828.63,252.2,867.25,290.71,1.137,-0.527,5.205,5.354
453,15.1,sports ball,0.849,832.47,250.25,869.87,288.12,1.158,-0.541,5.216,5.371
454,15.133,sports ball,0.825,834.18,249.1,871.94,286.68,1.178,-0.553,5.255,5.414
